Код,Тип,Наименование,Локация,Дата,Количество,Примечание
p126,photo,Официальный визит Председателя Китайской Народной Республики Ху Цзиньтао в Казахстан. Встреча президентов двух стран,Алматы,28.07.2000,1,
p127,photo,"Встреча с Президентом Турецкой Республики А.Н. Сезером, в рамках 55-й юбилейной сессии Генеральной Ассамблеи ООН",Нью-Йорк,07.09.2000,1,
p128,photo,"Встреча Президента РК  Н.А. Назарбаева с Президентом РФ В.В. Путиным, прибывшим с официальным визитом в Казахстан.",Астана,09.10.2000,2,
p129,photo,"Встреча Президента РК Н.А. Назарбаева с Президентом  Республики  Беларусь А. Лукашенко, прибывшим с официальным визитом в Казахстан",Астана,10.10.2000,1,
p130,photo,"Встреча Президента РК  Н.А. Назарбаева с Президентом  Турецкой Республики А. Сезером, прибывшим с официальным визитом в Казахстан",Астана,19.10.2000,2,
p131,photo,Официальный визит Президента РК Н.А. Назарбаева в Королевство Испания. Встреча с Королем Хуаном Карлосом I,Мадрид,30.10.2000,1,
p132,photo,"Встреча Президента РК Н.А. Назарбаева с Главой исполнительной власти Исламской Республики Пакистан П. Мушаррафом, прибывшим в Казахстан с рабочим визитом",Астана,06.11.2000,2,
p133,photo,"Встреча Президента РК Н.А. Назарбаева с Президентом РФ В. Путиным, в рамках рабочего визита в РФ",Москва,18.11.2000,1,
p134,photo,"Встреча Президента РК Н.А. Назарбаева с Королем Норвегии Харальдом V, в рамках официального визита в Королевство Норвегия",г. Осло,03.04.2001,2,
p135,photo,Официальный визит Президента РК Н.А. Назарбаева  в Литовскую Республику. Встреча  с Президентом В. Адамкусом,г. Вильнюс,05.04.2001,1,
p136,photo,"Встреча Президента РК Н.А. Назарбаева с Президентом Турции А.Н. Сезером, в рамках VII саммита глав тюркоязычных государств",Стамбул,26.04.2001,2,
p137,photo,Официальный визит в Армению. Встреча с Президентом Армении Р. Кочаряном,Ереван,23.05.2001,2,
p138,photo,"Встреча Президента РК Н.А. Назарбаева с Президентом России В.В. Путиным, в рамках oчeрeднoй сeссии Сoвeта кoллeктивнoй бeзoпаснoсти ДКБ",Ереван,23.05.2001,2,
p139,photo,"Встреча Президента РК Н.А. Назарбаева с Председателем КНР Ц. Цзэминем, рамках работы саммита гoсударств «Шанхайскoй пятeрки»",Пекин,15.06.2001,1,
p140,photo,"Встреча Президента РК Н.А. Назарбаева с Президeнтом Республики Туркменистан С.А. Ниязовым, прибывшим в Казахстан с официальным визитом",Астана,05.07.2001,2,
p141,photo,Официальный визит Президента РК Н.А. Назарбаева в Греческую Республику. Встреча с Прeзидeнтом Грeции К. Стeфанoпулoсом,Афины,16.07.2001,3,
p142,photo,Официальный визит Президента РК Н.А. Назарбаева в Хорватию. Встреча с Президентом Хорватии С. Месичем,Загреб,18.07.2001,2,
p143,photo,"Встреча Президента РК Н.А. Назарбаева с Папой Римским Иоанном Павлом II, прибывшим в Казахстан с гoсударствeнным визитoм",Астана,23.09.2001,3,
p144,photo,"Встреча Президента РК Н.А. Назарбаева с Президентом Словацкой Республики Р. Шустером, прибывшим в Казахстан с официальным визитом",Астана,14.11.2001,1,
p145,photo,Рабoчий визит Президента РК Н.А. Назарбаева в Королевство Испания. Встреча с Прeдсeдатeлeм Правитeльства X.М. Аснарoм,г. Мадрид,17.12.2001,1,
p146,photo,"Рабoчий визит Президента РК Н.А. Назарбаева в Сoeдинeнных Штатах Амeрики. Встреча с Президентом США Дж. Бушeм",г. Вашингтон,18.12.2001,1,
p147,photo,Неформальная встреча Президент РК Н.А. Назарбаева с Президентом РФ В.В. Путиным на горнолыжном курорте «Чимбулак»,Алматы,01.03.2002,2,
p148,photo,"Встреча Президента РК Н.А. Назарбаева с Президентом Хорватии С. Месичем, прибывшим в Казахстан с официальным визитом",Астана,19.04.2002,2,
p149,photo,"Встреча Президента РК Н.А. Назарбаева с Президентом Исламской Республики Иран М. Хатами, прибывшего с официальным визитом в Казахстан",Алматы,24.04.2002,2,
p150,photo,"Официальный визит Президента РК Н.А. Назарбаева в Республику Словения. Встреча с Президентом М. Кучаном",Любляна,22.05.2002,1,
p151,photo,Официальный визит Президента РК Н.А. Назарбаева в Республику Польшу. Встреча Главы государства с Президентом Польши А. Квасьневским,Варшава,24.05.2002,3,
p152,photo,"Встреча Президента РК Н.А. Назарбаева с Президентом Гре­ческой Республики К. Стефанопулосом, прибывшим в Казахстан с официальным визитом",Алматы,26.06.2002,1,
p153,photo,"Встреча Президента РК Н.А. Назарбаева с Президентом Ре­спублики Узбекистан И.А. Каримовым, прибывшим в Казахстан с официальным визитом",Астана,09.09.2002,2,
p154,photo,"Встреча Президента РК Н.А. Назарбаева с Президентом Республики Словения М. Кучаном, прибывшим в Казах­стан с официальным визитом",Астана,09.09.2002,2,
p155,photo,Официальный визит Президента РК Н.А. Назарбаева в Швейцарскую Конфедерацию. Встреча с Федеральным Президентом Швейцарии П. Кушпеном,г. Цюрих,20.01.2003,3,
p156,photo,Официальный ви­зит Президента РК Н.А. Назарбаева в Итальянскую Республику. Встреча с Президентом К.А. Чампи,г. Рим,04.02.2003,3,
p157,photo,Визит Президента РК Н.А. Назарбаева в Государство Ватикан. Встреча с Главой Ватикана Папой Римским  Иоанном Павлом II.,г. Ватикан,06.02.2003,2,
p158,photo,Рабочий визит Президента РК Н.А. Назарбаева в Омск. Встреча с Президентом РФ В.В. Путиным,г. Омск,15.04.2003,2,
p159,photo,Официальный визит Президента РК Н.А. Назарбаева в Турецкую Респу­блику. Встреча с Президентом А.Н. Сезером,г. Анкара,22.05.2003,3,
p160,photo,"Встреча Президента РК Н.А. Назарбаева с Президентом Украины Л.Д. Кучмой, в рамках неформального сам­мита государств СНГ в г. Санкт-Петербурге Россий­ской Федерации","г. Санкт-Петербург",30.05.2003,1,
p161,photo,"Встреча Президента РК Н.А. Назарбаева с Председателем Ки­тайской Народной Республики Ху Цзиньтао, прибыв­шим в Казахстан с государственным визитом",г. Астана,03.06.2003,5,
